No,Review
178,"Bagus sih cuman ada kendala nya yaitu saya sudah klaim voucher gratis ongkir tapi malah gabisa dipakai voucher nya :""("
179,Suka bangett
180,"Bagus banget aplikasi yang membantu saya jualan tapi belum ngerti ini cara daftar rekening kenapa ga masuk2 nya sms pemberitahuan kode nya tolong bantuan nya,"
181,Bagus sekali
182,Keren pokonya deh mantap
183,barang selalu sesuai pesanan
184,kalo lebih baik kutambah bintang ?? nya
185,Banyakin voucher gratis ongkirnya dong
186,Puas sekali sama pelayanannya
187,Top. Terbaik
188,Aplikasinya sangat membantu??
189,Mantap ni grastis ongkir muluk tidak menyesal dehhh kalau beli beli...
190,Bermanfaat
191,Thankyou kk Pengiriman cepat Baju juga Bagus² Hanya Baju Lampu led saja yang mati selain itu Bagus Semua.. Next nanti order lagi ????
192,"Sagat berguna bagi pelanja online,pengiriman cepat"
193,Bagus banget aplikasi nya
194,"Bagus aplikasinya, bisa memudahkan untuk kita bertranksasi."
195,Selama ini suka masih yang terbaik ????
196,"Cukup bagus,, pertahankan"
197,saya suka banget belanja di sini!!!
198,Baru pertama kali download langsung dapat barang gratisan
199,Aplkasi yang sangat membantu disaat pandemi
200,Sejauh ini transaksinya ok. Hanya perlu perbaikan pada aplikasi karena membutuhkan kuota yang besar. Sehingga di daerah yang sinyalnya kurang bagus agak berat dan lambat sekali....
201,"Belanja puas,aman dan nyaman"
202,Mantap
203,Pengiriman nya cepat.. Banyak gratis ongkir nya.. sukaaaaa
204,"Membantu sekali untuk kebutuhan barang, cuma banyak toko yang slow respon dan bahkan sering tidak dibalas"
205,Bagus pokoknya
206,Oke sangat mudah.dan membantu keinginan apapun bisa terwujut tidak perlu kemana2 cukup diam dirumah datang sendiri.shopi menurut saya seperti om jin..apa pun ke inginan saya terpenuhi??????
207,Sangat membantu dalam pencarian barang yang sesuai dengan harapan
208,bagus saya bisa beli apapun
209,Sangat bagus saya suka
210,semogaaa lancar jayaa
211,Banyak manfaat yang dapat diperoleh baik sebagai pembeli maupun penjual
212,Transaksi nyaman & aman
213,Layanannya ceppat dan memuaskan
214,Pokoknya keren ini aplikasi
215,"Bagus, memudahkan berbelanja di era online spt skg."
216,selalu sukaa dan puas
217,keren belanja di sini
218,Barang sesuai pesanan pokoknya ????
219,Walaus sudah bagus tapi masih banyak penjual yang melakukan kecurangan jadi bintang 4 aja
220,"Aplikasi Belanja Online terbaik. Semua barang yang kita cari tersedia lengkap, mulai dari barang elektronik, pakaian, perlengkapan dan masih banyak lainnya. Juga terdapat bangak voucher dan diskon besar besar an."
221,"Memudah kan untuk mencari dan membeli barang, ter utama barang yang sudah langka daerah saya."
222,"Lumayan bisa buat cari pengahasilan di sini,tapi malas ny tiap bulan diperbaruin Terus"
223,Tingkatkan lagi aplikasinya sejauh ini sudah bagus
224,Aman dan terpercayaaaa
225,"Belanja jadi mudah, harga jg murah"
226,saya suka
227,aplikasi shop ini memang paling bagus
228,Respown penjual cepat
229,Ini aplikasi bagus untuk musim kini lagi Corona belanja di rumah aja
230,aplikasi yang membantu
231,"Mantap, banyak free ongkirnya..."
232,Murah murah harga barangnya dan banyak promo
233,Aplikasinya bagus banget semua bisa di proses
234,Bagus banget.. Aku puas.. Pengemasan rapi banget.. Makasih ya seller
235,Good Aplication saya suka
236,Aplikasi keren yang bisa menghasilkan uang dan juga memudahkan dalam berbelanja ????????
237,Barang bagus
238,Saya sangat suka...
239,Pengirimanya cepat?? kualitas baju bagus saya suka
240,Seneng..saran lbh banyak kin gratis ongkir..untuk pengguna pedagang online..keamanan ditingkatkan lagi
241,"Aplikasi mudah di gunakan, banyak sekali pormo menarik, tapi sekarang jasa kurirnya tidak bisa memilih, Mungkin bisa di pertimbangan lagi untuk merubah opsi kurirnya agar pengguna bisa bebas memilih jasa kirim yang di sukai, karena setiap daerah berbeda-beda kecepatan pengirimannya,"
242,Aplikasi sangat mrmbantu saat mager baget buat keluar rumah
243,Aplikasi bagus
244,Belanja aman dan terpercaya. Mantul
245,"Bagus, tapi apabila pembeli komplain barang, selalu yang dibela penjual."
246,Mantap sekali aku suka
247,Good job
248,"mudah,praktis,hemat dan terpuaskan"
249,Pengiriman cepat dan memuaskan
250,Mantap No 1 benar benar
251,Semoga membantu bagi orang lain
252,Semoga tetap amanah
253,Saya cukup puas
254,Asyik banyak diskon di sini
255,Berbelanja mudahh
256,Murah cepat tepat
257,Selama ini memuaskan karena selalu ngga kecewa
258,Sangat membantu aplikasi ini...
259,Sangat membantu
260,Sangat membantu dalam belanja
261,Alus pisan topplah
262,"Banyak promo no kaleng2, gak seperti sebelah"
263,Belanja ga perlu ribet keluar rumah
264,Top markotop
265,Situs belanja online The Best
266,"Belanja gampang, pilihan banyak, harga nyaman d kantong..."
267,Mantep dah pkoknya
268,Suka banget belanja disini?? barang yang saya beli hampir rata² realpict
269,Aplikasi ini sangat bagus
270,Harga terjangkau pngriman ok.kualitas djaga ok.
271,Aplikasi favorit belnja onlen
272,baguss
273,Mantap
274,"Layanan bagus, jangan sampai ada seller yang tipu2 ya....."
275,"mudah,simple,dan terpercaya"
276,Sejauh ini hasil dari barang yang dibeli bagus dan pelayanannya cepat
277,"Barang sesuai pesanan, sesuai d foto, sering kasih gratisan ongkir, suuiiippp"
278,Sangat bagus
279,Saya sangat menyukai shopping sesuai dengan barang dan harga
280,Memudahkan berbelanja
281,Sukses terus ya buat aplikasi ini
282,Bagus sih bosku lebih nyaman... Cuma kurangnya satu ongkirnya kemahalan bosku di bandingin toko sebelah...ya wlwpun bnyk promonya tapi Tidak semua pengguna dapat!!
283,Good online shop.....
284,Mantap mudah cara pakainya
285,Mantap aplikasi ini sangat membantu pembelanjaan saya.. Terimakasih
286,"Memudahkan , beres gak ribet, profesional dan tanggung jawab atas semua Cancel an ... Ramah sopan mantapz jaya... Surabaya menyapa... Josss gandos... sampai pemesanan sekarang tetap lancar aman terkendali... Matur Suwon... Alkhamndulillah... Terima kasih,,,"
287,"Bagus aplikasi nya. Tapi banyak racun, bikin dompet nangis :("
288,Banyak membantu
289,"Assalamualaikum,ak suuukkkkaaa baattt aplikasi ini"
290,"Suka belanja disini, tapi sayang sekali sih sekarang jasa pengirimannya dipilihin, bukan kita yang pilih sendiri. Harusnya kayak dlu lagi sih bisa pilih sendiri karena ada beberapa jasa yang kurang bagus menuruntuku :("
291,"banyakin gratis ongkir ya, cod nya juga jangan kasi minim"" belanja hehe"
292,Bagus dan selalu dipertahankan
293,cukup responsif dengan komplain pembeli
294,"produknya komplit dan banyak bonusnya,,,,"
295,"suka hyung aplikasi nya!! jadi mudah belanja tanpa harus keluar rumah, banyak diskon sama voucher gratis ongkir nya jga, terus harga nya kbnykan lebih murah?? besttt lahhh pokok nya aplikasi racunn yang warrrbiasaaa sukaa????"
296,"sudah bagus kak, kalo bisa tambahin fitur topup gopay pliss mau bangett??????"
297,Sangat memuaskan??????????
298,bagus banagttt tiada kata lain lagi
299,Bagus pelayanannya memuaskan
300,"Bagus sangat membantu ,, tapi kenapa adik aku ngga ada minimal belanja untuk gratis ongkir, aku ada ???? tapi suka kok app ini ."
301,"Aplikasi belanja onlain terbaik, semoga lebih banyak discount"
302,No comment...good aplikasi
303,"Kalau bisa ongkir nya jangan mahal,,ok Kaka...semoga ada big shale barang ORI ya ka jangan kw hehe ??"
304,"sering"" diskon"
305,Mantap..
306,Toko online shop sangat memuaskan customer nya secara pelayanan dan produk
307,Bagus banget terimakasih
308,"Sangat membantu sekali buat nyari2 barang, banyak variasi dan bisa banding2 harga antar toko.. Apalagi sekarang jadi bisa ikut jualan juga.. suka sekali ????"
309,Lebih nyaman karena ada COD
310,Aplikasi ini memang bagus dan menarik
311,Bagus
312,Ada kenaikan bintang dari ulasan saya yang dahulu. Saya kasih bintang 4.
313,Enak nyari barang disini.. Lebih murah dari toko sebelah
314,Pembelian lebiih aman dan terpercaya
315,Mantap
316,sangat membantu
317,Tambah lagi gratis ongkir nya
318,Bagus dan memuaskan
319,Pengiriman dapat dipercaya Semoga kedepanya lebih maju lagi Dan banyak gratis ongkir:v
320,"aplikasinya no crash, soal pembayaran jg gapernah ada problem walaupun saya pakai metode aneh2 yang kadang campur2 tapi duit aman 100%. aplikasi keren, kalau ada yang blagi gabagus brarti usernya kurang bijak dalam berbelanja dan memilih tokonya. Sekian terimakasih!"
321,belanja aman dan banyak promo
322,Terbaik aku suka....!!!
323,Belanja jadi lebih mudah dan nggak usah susah susah keluar
324,"Aplikasi terbaik ,,, kalau ongkir nya free tambah sippp"
325,Bagus… cepat dan terpercaya
326,Sangat membantu dlm berbelanjaa Terima kasih
327,Pelayanan bagus tapi kadang dr pihak penjual kurang cepat merespon
328,Tempat belanja yang sangat mudah
329,"Overall suka tapi untuk pilihan otomatis untuk kurir itu setidaknya sediakan juga opsi manualnya karena di beberapa kota ada ekspedisi yang memang memegang rating buruk untuk pengiriman, kasian seller juga kena maki oknum2 pembeli yang tidak mengerti harusnya komplain ke kurir malah, ngasih rating jelek ke toko karena barangnya bermasalah saat pengiriman,"
330,Aplikasi ini bagus banget Pokok nya ok lh Nggak bisa lagi gwe mau ketik apa lagi Karena aplikasi yang basgus
331,kualitas produk baik pngiriman barang aja lama sama ongkir mahal
332,Pengiriman tidak pernah meleset dan cepat pastinya.
333,Belanja paling mudah dan terpercaya??
334,Mantul mantap betul??
