No,Review
618,"Barangnya sampai dengan cepat, bagus, terimakasih lazada."
619,barang bagus peking rapih. gua rekomendasikan banget lah klo barangnya.cma sayang pengiriman lama kaya ampas jne dioper sana sini barang gua ga ga muncul2 harus di komplen dlu cs ny kali baru ngerti. mending buat pengiriman lain deh lbi bgus
620,baik
621,"Foto produk sesuai dengan asli. Warna birunya bagus. Saya pesan, dan bayar produk ini pada tanggal 21 Oktober 2018, dan produk ini datang pada tanggal 23 Oktober 2018 dalam kondisi baik, dan berfungsi untuk Macbook Pro saya meskipun saya harus format dahulu. Saya mendapat bonus poket untuk external HDD saya ini. Mudah-mudahan produk ini awet. Terima kasih Lazada."
622,"barang udah sampe gunn,, masih segell dari pabriknya,, mangstabb,,"
623,baik. sesuai ekspektasi.
624,"Pengirimannya cepat, produk baik"
625,"Original, Packing rapi."
626,"Barang sampai dengan aman. Kemampuan laptop sesuai dengan yang di iklankan. Hanya saja, laptop datang dengan DOS sehingga harus di install sendiri windows nya. Overall, it's worth the money."
627,Oke
628,mantap
629,barang ok .. packing Rapii .. Kurir nya Ramahh .. Puass ..
630,"flashdisk 64gb casing metal, baguss"
631,"Barang diterima dengan selamat.. Produk sesuai dengan deskripsi.. Barang nyape 3 hari ke pekanbaru,riau.. Terimakasih lazada dan kotakom pucang, laptopnya mantap.."
632,SHOPEE ARISAN SAYA TIDAK BISA DIBUKA. STUCK DI LAYAR PUTIH
633,"Shope terpercaya, banyak promo murahh gratis ongkir.. Is the best"
634,Bagus tingkatkan terus ya shopee
635,"Semakin ke sini shopee semakin membagongkan. Jasa kirim hilang, gratis ongkir hanya untuk shopee pay. MAU MARAH!!!! TAPI SUARA PELANGGAN KECIL SEPERTI SAYA INI BISA APA!! SEMAKIN MEMPERSULIT."
636,Tolong ya min Top uo shopeepay tuh gk mesti pke rekening Bisa di indo/ alfa gtu
637,BAGUS BANGET INI aplikasi SYOPI AKU SUKA BANGET
638,"dengan Shopee belanja jadi enak, perlindungan shopee patut d acungkan ???? terima kasih Shopee.. Shopee mnk kereen ???? kepada. Yth. Shopee yang baik, Kami minta Tolong , mohon konfirmasi kan ke fihak expedisi j&t perbaiki jasanya khususnya di Pasuruan .agar tidak mengecewakan pemakai jasa. Kalau sekali dua kli sich wajar, tapi kl saya pribadi mengalami kendala sampai 6x dengan alasan berbeda ,salah kirim, tertunda, barang disimpan di gudang, penerima orang lain dll, mohon diperhatikan n diperbaiki.Terima kasih"
639,"Apl ini cukup membantu banget bagi rakyat Indonesia, apa lagi seperti keadaan dan situasi sperti skg ini, meskipun covid-19 sedang mlanda, tapi kita tetep bisa belanja dari rumah, terimakasih shopee"
640,"Shopee sangat membantu, belanja gak harus ribet... Dan kualitas produk nya bagus sesuai pict nya"
641,Shoping kadang²gk bener aku pesen tapi gk di anter
642,Wah bagus banget ini shopee zaman sekarang saya suka dengan aplikasi ini mohon lebih di tingkatkan lagi mimin agar aplikasi shopee ini makin berkembang
643,kenapa susah bngt msuk ke shopee
644,"Hallo min, saya sudah info ke IG @shopee_id, tapi kenapa belum ada jawaban sampai sekarang? Padahal dari hari minggu. Tolong lebih care lagi min sama customernya. Ditunggu"
645,Setiap aku belanja selalu Gratia ongkir aku di dukung oleh shopee
646,Waduh telat bayar sehari shopeepaylater bunganya banyak amat
647,"Saldo Paylater saya kenapa tidak kembali lagi??? Bintang 5 pasti,,, tapi dlu,,, Fitur paylatter yang cicilan bunga murah,tapi 2 bulan terakhir saldo saya tidak balik lagi... Malahan 0,,, Alasan pandemi covid,,, jadi sering belok ke toko sebelah,cari2 harga termurah"
648,"Sejak ada shopee aku kalau belanja jadi lebih mudah,walaupun kasang ongkos kirimnya lebih mahal daripada harga barang yang dibeli"
649,ternyata aplikasi segede shopee pun masih problem untuk masukin akun .. gimana mau belanja .. percuma iklan di mana² tapi problem banyak .. mending kurangi budget iklan untuk perbaiki aplikasi nyaa..??
650,Wah ternyata pakai shopee top banget
651,Shopee elek masa saya baru donload langsung pesen bola kompan pas sampe bolanya malah bocor ga bisa di tambal ga bisa di jahit gimana donk tlong dari pihak shope untuk memperbaiki masalah saya Intinya saya nyesel donload aplikasi ini
652,"Tidak membela hak pembeli. Hanya membela hak penjual saja. Ketika kita order, dan kita membatalkan ada pusat diskusi menanyakan kenapa di batalkan. Tapi ketika penjual yang membatalkan, tidak ada pusat diskusi nya. Saya menunggu 9 hari orderan itu, dan se enak nya penjual membatalkan begitu saja,tanpa tanya ke saya. Sangat merugikan pelanggan. Sebaiknya shopee harus adil menganai ini. Saya tunggu 9 hari tanpa dapat apapun."
653,"Shopee sudah gak asikk lagi, terkait jasa pengiriman sudah gak bisa memilih. Pihak shopee yang tentukan. Dan waktu pengiriman sangat lama.solusinya pindah ke aplikasi yang lain..."
654,Saya puas sekali dengan sopee berbelanja dengan murah tampa kemana2
655,Setelah di update makin gk jelas di jasa pengiriman tolong di perhatikan lagi... karena pembeli cari yang terbaik untuk jasa pengiriman... @shopecare tlong dong di menu pengiriman di ubah seperti semula jadi bisa pilih ekspedisi yang di mau karena masing2 ekspedisi setiap daerh ada plus minusnya Klau seperti sekarang jadinya rondom jadi gk tau ekspedisi nya pakai apa Klau pas yang cocok di daerah tertentu yaa bagus klau tidak malah makin lama
656,Shoppy I like you aplikasi online nomer satu??
657,kenapaa akun shopee di batasi atau di blok..parah padahal gw planggan stia shopee tapi di gniin.makin ksni makin parah shopee
658,Shopee mantap kalau bisa harga di turunin ??
659,"Keren dah, walupun terkadang shopee pay nya sering eror"
660,Pelit sama gratis ongkir non shope pay
661,"Halo pihak shopee... Hari ini akun saya di hack oleh orang tak di kenal, saya iklaskan karena shopee pay saya cuma ad Rp.50000, saya harap shopee harus lebih ketat menjaga privasi akun, dan menjamin keamanan akun pengguna. Saya harap cukup akun saya yang di hack, dan jangan ada lagi korban, saya rasa ini kelalaian pihak shopee. Terima kasih"
662,di permainan candy crusah shopee . sy sudah di level 111. tapi gmn mau cr main nya. di kunci semua . tolong d perbaiki.
663,Assalam'ualaikum kanakungedonlot shoppe lamangedonlotnya
664,Kecewa sma shopee
665,Shopee ok banget
666,"kenapaaa jasa kirimnya sekarang gaada jnt dkk woiii sedih gabisa diatur sendiri,pliss shopee balikin kayak dulu lagi ya??????????????????"
667,"knapa sih sekarang shopee jadi berubah, udh cinta banget padahal huhu ???? cod harus 50k voucher gratis ongkir juga dipersulit banget ??????"
668,"KESELLLL banget SM aplikasi SHOPEE !!!! ?????? skarenag Loading lama bangett TAPI SINYAL LANCAR DIpakai YTB JG GA LOADING lahh ini loading sekitar 20 detik baru muncul terus kalau lagi nyari barang terus""an bakal gak muncul alhasil harus keluar aplikasi shopee dl baru bisa"
669,Puas blnja d shopee
670,Mau cari apa aja ada di shopee Mempermudah saya untuk belanja semua keperluan rumah termasuk keperluan babanyaku Semua keperluan selalu belanja disini Semoga kedepannya semakin banyak gratis ongkir dan harga yang lebih murah lagi ya hehehe Sukses selalu shopee ??
671,Suka kecewa pas lagi 12.12 kek gini udh nunggu nungguin ip atau yang lain nya taunya di tipu tiba tiba stok abis kecewa banget sumpah.
672,Shoppe untuk pengiriman cepat tapi ongkir nya mhal mahal
673,Bagus sekali shopee pelayanannya
674,mudah dan cepat pelayanannya terimakasih shopee
675,"Okeh.. Makasih uddah respon buat gratis ongkir cod nya wlwpun kebanyakan bonus cuma buat pengguna shopee pay.. Saran saya biar lebih banyak kalangan yang pakai shopee, bonus cashback pun di berikan kepada pembeli dengan mode cod.. Terimakasih"
676,Kalo shopee. belanja sepatu ada ukuranya gax..soalnya saya blum prnh pke shope. Biasa nya saya pke lazada..mudah2an ja gampng belanja nya..biar jadi lnggann d shope
677,"Selalu suka deh sama shopee .. Belanja aman, murah dan terpercaya serta banyak gratis ongkir dan diskon cashback hehehe"
678,Belanja apa aja itu mudah kalau belanjanya di SHOPEE??????
679,Shopee tanam.. Penipu Ujung2 nya sruh beli dan bayar juga!!! sudah tanam lama2 Ujung2 nya Duit dan bayar.. Mending Langsung beli aja ngapain lama2 tanam. Asu lah
680,Senang berlaganan sama shopee
681,"Shopeepay nya gak bisa dipakai, padahal udh diisi pas shopeepay nya"
682,Haduh aplikasi kok lemot kaya gini
683,Suka belanja di Shopee
684,"Saya kasih bintang 1 karena shopee pay later saya belum muncul muncul,temen saya baru daftar langsung muncul shopee pay later nya,payahh"
685,"Sinyal bagus, tapi buat buka shopee susah banget. Kaya sinyal edge, loading barang ngga muncul muncul"
686,"Saya sudah lebih dari 3 tahun pakai shopee, dan saya setiap bulan pasti transaksi. yang dulunya limit shopee pay latter saya 1.250.000 dan selalu saya bayar tepat waktu setiap menggunakannya, sekarang 0 rupiah limitnya. Sunggu kecewa. Klau blum balik limitnya sampai bulan depan, saya beralih ke e-commerce sebelah."
687,"Baru download , isi saldo shopee pay , langsung beli item, eh tau2 aplikasi ga ngrespon pin , tapi ga ada pilihan buat ke back screen, langsung ada notifikasi shope pay di non aktifkan, sudah hubungi cs sampe pulsa abis 20k, sudah email ga ada respon Aplikasinya yang bobrok, sistemnya yang abal2 tapi customer nya yang ribet. Auto bintang 1 sudah"
688,"Saya pengguna shopee,,,sangat kecewa karena uang shopepay saya hilang 3,1 juta,,,dan shopee tidak bisa membantu,,dn tidak bertanggung,,ngapin adain shopepay malah jadi uang saya hilang,,,akun malah dibobol tim shopee,,,tiba""bnyk sms dari shopee,,, Shopee sudh tidak amann,,,buat data2pribadi,,, Dimna rasa kepeduliannya,,, Semoga semua ada balasannya,,,sudh saya ikhlaas kn walapun uang arisan orang2,, Saya kasih bintang 1 jha,,,"
689,"Kenapa shopee gk bisa diperbaruhi terus gk bisa buka shopee,untuk mencari ap yang kita mau"
690,makasih shopee belanja jadi lebih mudah. Tinggal nunggu di rumah pesanan sampai deh
691,"untuk shoppe.mohon kedepannya kasih fitur untuk bisa menghubungi pihak pengirim (JnT/JnE). karena saya sudah melakukan pembellian dan pembayaran, pakait saya malah diterima orang lain. kenapa pihak pengirim tidak menghubungi pembeli terlebih dahulu. padahal saya sudah menulis nomer saya dengan sangat jelas. saya kecewa sekali, uang saya terbuang sia"""
692,"Puas dengan Shopee yang melayani dengan baik, dan selektif terhadap seller,sehingga konsumen merasa terlindungi, TINGKATKAN TERUS PELAYANANNYA, , SHOPEE MAJU DAN SUKSES Untuk pengiriman yang satu lokasi antara pemesan dan seller apa tidak bisa diusahakan 1 hari nyampai,mengingat jaraknya dekat banget"
693,seneng banget bisa belanja di shopee ga rugi deh
694,Kenapa ya shopee makin susah dibuka?
695,"Parah saya ditipu sama TOKO di shope,, pas saya beli voucher pertama dikirim sesuai bukti,, pas saya beli voucher kedua di penjual kirim bukti saat transaksi pertama,, saya ajukan pengembalian tapi pihak shope mengatakan dimenangkan oleh penjual, karena penjual ada bukti transaksi pertama saya kecewa!"
696,Thx shopee sukses selalu jual online paling T O P....
697,sip pokoknya di shopee
698,"Suka banget belanja di shopee, sering2 dong keluarin voucher gratis ongkir"
699,"pakai Shopee pasti untung,aplikasi dr Sabang sampai merauke,yang lain...cukup."
700,shopee php terus soal promo di transaksi ada cb setelah di bayar cb kaburr shopee gak asik di tambah ongkir pada naik gak bisa pilih jasa kirim
701,"pakai shopee puas banget, tapi tolong dong shopeepaylaternya kapan bisa di gunakan lagi huhu."
702,"Good sekali aplikasi ini saya sekarang jadi jarang keluar,karena ada shopee yang selalu siap mengatar pesanan kita ke rumah,"
703,mantap Tak Bisa dijelaskan dengan kata-kata pokoknya sukses selalu shopee.
704,Memang oke... Yang penting belanja sesuai prosedur shopee biar amanah..
705,Terkadang kecewa dengan shopee saya pengguna paylater selalu bayar tepat waktu data sudah masuk seharusnya team shopee tau dan di kasih fitur shopee pinjaman ... karena bisa di liat data pembayaran sangat tempat waktu saya di situ saya kecewa ... Semoga di dengar saran saya dan kecewa saya di team shopee
706,"Kecewa dengan Shopee belakangan ini, top up Shopee pay lebih 1x24 jam belum diterima dan tidak ditindaklanjuti"
707,puas belanja di shopee banyak diskon dan gratis ongkir. penjualnya baik dan kurir sopan.
708,Notif nya selama barang d display stok masih ada jadi dh sy lngsng check out...setelah d pesanan d bayar ternyata stok kosong...alhasil saya batalin pesanan tapi tak jg d konfirmasi oleh si penjual...lamaaa proses nya meski nunggu lima hari ..pihak shopee pun tidak bisa berbuat bmyk..
709,jelek! SERVER eror MULU! TOP UP SELALU GAGAL! APALAGI PAS 12.12!
710,"Makin ribet , makin ga nyaman.. transaksi mudah cuma untuk pengguna shopeepay doang .. ribet juga kalau mesti isi saldo"
711,"Kena rachun shopee sudah KERACUNAN SHOPEE N TIKTOK,awal ny iseng iseng aja belanja di shopee tapi stelah semakin hari semakin kena rachun, karena diskon ny itu lohk bikin aku sedih????,masa kaos tie dye harga nya 9.000 sm lengan panjang cuma 12 rbu, bahkan ada shopi mart jadi gk perlu ke alfa ato ke i...Ulasan Lengkap"
712,"Kecewa !!! Capek"" ngumpulin poin, Game Shopee mancing nya hilang !!!"
713,"Belanja lebih mudah tanpa perlu keluar rumah, apalagi sekarang ada SPayLatter jadi lebih ringan juga pembayarnnya, bisa dicicil lagi ?? terimakasih shopee.. salam hangat dariku yang selalu setia memakai jasa mu ?????????? like like like like like like"
714,Aplikasinya bagus pengirimanya juga cepat tepat dan akurat apalagi di tambahin cod untuk pembayaran di tempat makin tambah bagus lagi makasih shopee
715,"Pakai shopee express surabaya mojokerto sampainya 4hari sedangkan kalau pakai j&t semalam aja sudah sampai, barang nggak sampai tepat waktu jadi customerku pada kecewa. Ini bukan layanan yang saya inginkan ya"
716,Sangat puas belanja d shopee selernya rama dapat chasbek gratis ongkir Terimakasih shopee????
717,puas belanja di shopee banyak diskon dan gratis ongkir. penjualnya baik dan kurir sopan.
718,Puas berbelanja dishopee.sesuai ekspetasi
719,"Shopee tolong respon. sudah 3 hari dana saya belum dikembalikan, nunggu dari pihak shopee juga belum diproses. Tolong pihak shopee ditingkatkan lagi kualitasnya. INI GIMANA WOYY, UANG GUA GA BALIK BALIK"
720,"saya suka belanja di shopee sih, sayangnya voucher free ongkirnya terlalu minimalis, apalagi untuk barang yang ada diluar jawa otomatis ongkirnya lebih mahal:') lebih dibanyakin lagi dong vouchernya"
721,"Shopee emang keren bangetlah tapi sayang, shopee later gak bisa dipakai"
722,Sumpah ya kenapa shopee sekarang jadi gini Tengah2 di pakai harus log in lagi log in lagi Capek tau Lama2 aku uninstal juga nich
723,"Terimakasih shopee Semua di shopee bagaikan secepat kilat dan barang terjangkau bagi kami selaku penghobi barang perkakas kerja.karena kami bagian dari pekerja,senang berkreasi dalam dunia pekerjaan di tunjang alat2 kerja.i love shopee?????????????????????"
724,Puas belanja di shopee
725,"So far, Shopee memang super-duper. Memuaskan. Banyak voucher ongkir. Bisa COD. Recommended bingitsss! Saranku, hendaknya Shopee membuat sistem dan kebijakan untuk mempersempit ruang gerak oknum-oknum yang tidak bertanggungjawab memperjual-belikan produk-produk bajakan, seperti buku bajakan, yang adalah sebuah kejahatan yang melanggar hak cipta dan merugikan pemilik hak cipta, baik penerbit dan penulis."
726,"Shopee pay later saya limitnya jadi 0,padahal bayar gak pernah telat bayar:( Kecewaaa banget:("
727,Shopee ist the best...
728,"Ini gimana sih shopee?? Koinku kok ilang Terus ,brusan dapat 10k koin ilang lagi ?? Gapaham deh ! Keselll"
729,Shopee good !!!
730,Kok shopee capit nya gak bisa sih perbaiki nggak nanti gue ......
731,Lebih ditingkatkan lagi untuk keaman shopeepay nya
732,Nih shoppe kenapa yaa mau belanja masuk k keranjang ga bisa
733,"Alhamdulillah dengan ada aplikasi shopee sangat membantu kami dalam bertransaksi pembelian apa pun serba ada,,kuliatas barang barang pun sangat baik,, terimakasih"
734,Maaf terkena kebijakan tidak jelas dengan dibebankan bunga tiba2. Tanya k cs solusinya kebijakan baru. Menyesal pakai paylater bunga gajelas. Belum telat bayat sudah ada bunga gajelas. Males ribet
735,"Pelanggan setia ,udh banyak barang aku trima dan semua nya menyenangkan makasih shopee Semoga menjadi aplikasi olshop pertama di indonesia"
736,"Sangat bagus, barang²'a mudah didapatkan dan juga murah.. Bnyak diskon, bisa belanja sekarang dan bayar akhir bulan. Top lah number 1?? Thank shopeepaylater ??"
737,Shopee memang mntaapp
738,Ini aplikasi kenapa sih..kenapa shoppe gratis pengiriman nya berubah.jadi ribet.gak ngerti sama sekali.masih berapa kali belanja di shopee aplikasi nya seperti itu.jadi males belanja di aplikasi ini
739,Shopee makin lemot
740,"Untuk penangan masalah lama banget, kinerja gak totalitas, contohnya pengembalian produk, bisa berbulan-bulan, padehal bukti sudah jelas, video sudah di buatkan, kurang bukti apalagi, di tambah saya sebagai seller kurir pengiriman tidak bisa di ganti, musti chat shopee, chat admin shopee bikin males, lama di tanganin kasusnya, gak optimal. Makin kesini makin buruk"
741,Shopee masa ngk bisa daftar padahal udh bener semua macam lah.
742,"Shopee sangat membantu sekali, semua yang di butuhkan ada di shopee, shopee favorit banget"
743,Woy shopee kenapa gua setiap mau kirim alamat ada tulisan terjadi kesalahan
744,"Hay shopee.makin berat aja sih ini. Makin di update makin lemod. Saya minta tolong. Tolong banget. Hapus aja deh itu game2 atau update yang enggak perlu. Kami butuh belanja dengan nyaman, cepat dan ga berat buat buka aplikasi nya. Atau cobalah bikin shopee lite yang ringan kalau emang sayang sama game mu daripada kenyamanan belanja. Ini di hp saya app shopee paling ngabis2in memori. Buset dah. Ini sama marketapilace FB lite aja kalah ringan jauh banget. Lemot jadi males update2."
745,Payah. Kok gak bisa daftar akun di shope?
746,"Belanja di Shopee aman karena penjualnya amanah. So, never doubt"
747,"Cukup puas berbelanja hanya di Shopee 9,9,,,banyak promonya yang memuaskan. sudah gitu gratis ongkir lagii..terimakasi Shopee"
748,Tadinya seneng belanja di shopee tapi sekarang males soalnya voucer gratis ongkir & cashbacknya harus pakai shopee pay jadi ribet
749,"dear shopee, kami para pembeli sudah merasa nyaman dengan sistem pemilihan ekspedisi yang sblmnya, kami bs memilih dengan jelas dan dengan nominal ongkirnya, ekspedisi mana yang kami inginkan.. shopee kebanyakan extraongkir sdengankn toko langganan gak semuanya pakai. Tolong jangan tiru lapak sebelah y.. ntah ini masukan yang berguna atau nggak tapi sbg pelanggan cuma itu yang ingin dikeluhkan. shopee masih jadi pilihan pertama. ;'')"
750,Shopee makin jelek.. voucher cuma buat shopeepay semua.. Nggak guna.. Mengecewakan
751,"Saya terkena tipu, uang di shopee pay saya tiba2 sudah transaksi tagihan pulsa ?????? Padahal gk pencet2 apa2 tiba sudah transaksi ?????? Saya d telfn oleh pihak shopee ternyata di tipu"
752,"Ko shopee sekarang kek gitu? Jelek pelayanan nya, mau buat pesanan eh terus muter2 gitu. Abis muter terus keluar sendiri dari aplikasi ny. sudah 2 hari kek gitu, tolomg dong shopee diperbaiki. Jualan saya jg ini mandek jadinya.????"
753,Alhamdulillah belanja di shopee mantap
754,"Pemakai setia shopee hehe....banyak program yang nguntungin banget. Pengen terus ningkatin member biar bisa dapat banyak promosi. Sampe saat ni blm pernah kecewa sih dalam orderannya. Sistem pembatalan jg cepat, aman, respon baik. Trimakaaasiihh shoppeee...??"
755,Aku Suka shopee
756,Barang di shopee bangus2 real pic pelayanan sangat ramah shopee is the best
757,"Kurirnya gak bisa milih, biasanya saya make kurir j&t sekarang jadi gak bisa milih kurirnya, kecewa bangey shopee standar expres lama sampainya biasanya sehari sampe skrang 3 harian baru sampe kecewa lah"
758,"Tadi pagi dapat sms ktanya dapat hadiah uang dari shopee,, ini bneran dari shopee?? Atau cuma penipuan"
759,"Tolong perbaiki performa aplikasi, sering banget gagal proses, sama kembalikan pilihan layanan jasa expedisi atau pengiriman, jangan random dari pihak shopeenya"
760,"Pepekk kali shopee nihh, saya pesan ukulele cowboy yang dtg malah ukulele sen sen"
761,Kode Otapi baru dikirim nggak bisa di gunain buat apa??? Sampe akhirnya ShopeePay saya di Blokir!!! gak Guna sma Sekali!!! Kalo kayak gini terus Rugi kami sebagai Pengguna!!! Saldo ShopeePay udh Banyak malah di Blokir!!! Kami gak bisa Ganti PIN karena Kalian!!! Ngirim Kode Otapi YANG sudah KADALUARSA!!!
762,Emang paling enak shoping online d shopee.. dapat gratis ongkir terus... Barang selalu sampai dengan aman.
763,"KECEWA!!! sudah nahan ngantuk dari jam 10 sampe jam 2 demi flash sale tapi nggak dapat apa"" biar 1 barang :). yang saya dapat hanya tulisan eror eror eror dan eror . Dah Lahh percuma begadang nya mana besok gua ulangan lagi :) Thanks Shopee atas flash sale zonk nya :)"
764,"Kecewa banget sama shopee,,koin saya bukannya bertambah malah berkurang,,susah payah ngumpulin koin,sampe rela kuota abis nonton live shopee buat klaim koin nya,.eh malah tega banget dikurangi seenak nya tanpa pemberitahuan..koin saya yang tadi nya 17ribu lebih sekarang masa tinggal 12rbu,,dikurangin nya banyak banget sampe 5ribu,,padahal ga dipakai apa2 koin nya,,sungguh bener2 kecewa,."
765,Puas belanja di shopee
766,"Gini ya kalo misal pengiriman nya dipilihin sama shopee terus pas kena j&t atau si cepat alamat pakait saya hilang karena jnt tidak mau antar kerumah saya sedangkan si cepat itu kalo nganter lama, kalo kya gini deh auto uinstal shopee atau beli produk luar yang jelas dianter pakai jne, maaf saya tarik lagi 4 bintang nya, gk ngerti ini dapat ide dari mana ngerubah pengirim kya gini selamat tinggal shopee, bakalan belanja lagi kalo sudah di perbaiki kesalahannya"
767,Terima kasi shopeee atas pelayanya...
768,Shopee suka gajelas kadang eror
769,"Tolong untuk jasa layanan pengiriman AntarAja dibuang, karena barang sama sekali tidak bergerak sampai berhari-hari, saya sebagai customer merasa di rugikan dengan waktu dan finansial, karena barang harus di ambil di tempat. semoga pihak shopee memperhatikan dalam bekerja sama dengan jasa pengiriman barang."
770,"Saya mau pakai Voucher gratis ongkir tapi ga bisa, terus saya main shopee tanam biar dapat gratis ongkir eh pas sudah panen malah voucher nya ga bisa dipakai, di voucher saya ada gratis ongkir tapi pas mau check out malah voucher nya ga ada -_-"
771,"Kenapa shoppepay later saya dikunci padahal sudah update info, padahal gk pernah telat bayar, sudah ub cs kata ya ada ketentuan yang ngak sesuai, tapi ngk disebut apa, buka donk blokir shoppelater saya"
772,"Dari awal thn 2018 kenal dengan shopee ada satu dua barang yang kurang puas saya beli karena belom terlalu ngerti cara belanjanya,,,, Tapi setelah itu baru saya ngerti cara melihat barang bagus dari ulasan pembeli ternyata benar barangnya bagus,saya beli dari hp,sepatu,tas,baju,celana dll semua dari shopee Mksh shopee selalu terus berjaya dan bekerja sama dengan seller"" yang berkwalitas yang top deh Sukses terus buat shopee dan seller"
773,Aplikasi shopeenya lemot banget waktu digunakan
774,"Udh gk jelas aplikasi ini, dlu ok skarenag gara2 ada shopeepaylater orang lain yang belum bayar malah saya yang akunnya di batasi pdhal beda akun shopee, kecewa sih. Akun di batasi gak bisa belanja lah otomatis buat apalagi punya akun ini kalo gaada gunanya, makin sini shopee udh kebanyakan yang pakai bukannya di perbaiki atau di nyaman2 malah bikin gk nyaman banget ribet lagi, gk bisa belanja lagi akun di batasi.. Minta di uninstal aplikasi ini secara tidak langsung."
775,"sudah lunas beberapa bulan lalu, saldo spaylater saya masih belum dikembaliin parah si emang"
776,Puas belanja pakai shopee
777,sangat puaass belanja di shopee
778,Puas belanja di shopee
779,"Reseller tokonya kok salah kirim barang gimana ini, busuk shopee"
780,"Shoppe 12,12 tapi sekarang sudah tgl 19 pesanan blm sampe (pke kurir j&t expres,parah banget pengiriman belanja di shoppe,pesanan lama dipegang kurir gk sampe2"
781,"Shoppie sangat membantu,aplikasi yang sangat bagus,ada spaylater,ada spinjam..harga yang sangat terjangkau,kualitas terjamin.pokoknya shoppie aplikasi pilihan..sukses Terus shoppie.gooooooooooodddddddd.."
782,Perbaiki dong. Parah amat. sudah kehilangan uang buat shopeepay. Akun juga ilang gara2 nungguin 12.12
783,"bigsale 12 apaan,,masak voucher diskon 1.2jt di klik gak bisa malah keluar sendiri,server eror lah..gak masuk akal merasa tertipu.."
784,"Aman belanja d shopee, kalaupun barang pesanan tidak datang shopee pasti bantuin"
785,"Sy pelanggan setia shopee ( sebelum jasa ekspedisi di monopoli menjadi jasa ekspedisi "" Shopee express "", mgkn namanya aja yang express tapi pengirimannya super duper lemot alias lamaa poll. Andaikan jasa ekspedisi kita bisa milih, itu jauh lebih bagus."
786,Puas belanja d shopee
787,Super duper mantul mah shopee harga murah banget banyak focher jg aku makin suka belanha di shopee
788,"Coba pakai paylatter nya, pas mau check out biaya penanganan 1k eh pas mau bayar tagihan paylatter coba cek malah jadi 2,5k"
789,"akun saya dibekukan padahal saya tidak melakukan kesalahan. padahal baru saja diperbaiki. apanya yang diperbaiki kalau dibekukan lagi? saya sudah top up shopeepay, tapi akun dibekukan. mau dikemanakan uang saya? apa ini caranya shopee mengambil uang konsumen? sungguh tidak bertannggung jawab!!! saya sudah lama memakai shopee dan melakukan transaksi berulang kali tapi kenapa dibekukan? aplikasi tidak bertanggung jawab!!!!!!!!!!!!!!!!!!!!!!!!"
790,Saya kurangin dulu bintangnya.. Sekarang sudah gak pernah ada lagi dapat voucer gratis ongkir cod..shopeepaya mulu yang muncul..payah padahal cod banyak disukai orang tapi malah ga ada lagi..mungkin sudah saatnya shopee harus turun rating
791,kata nya belanja di shopee ini gratis ongkir kok gue belanja gak ngeratis ini gimana ni
792,Kemarin saya beli jam tangan di aplikasi shopee tapi malahan yang dikirim jam rusak dan mati/gk berfungsi... bukan masalah harga nya berapa... tapi tolong pihak shopee kalo ada pelapak yang curang dan gk jujur mendingan ditutup aja akun pelapak yang begitu karena hanya merugikan konsumen/pembeli/pelanggan yang ada di shopee...
793,"Ini kenapa saya tidak bisa login? td chat sm shoppie katanya suruh logout dlu Terus login, Niy udh log out malah g bisa log on,sebel Jaringan g ada wae,pdhal di hapus download lagi aplikasi nya bisa,... Tolong dong solusinya..."
794,"Saya cuma punya satu aplikasi jual beli online dari dulu sampai sekarang saya pakai aplikasi shopee, tapi Makin ke sini shopee makin lemot gambar suka gak kebuka padahal udh di update ke versi yang terbaru padahal sinyal juga lancar"" ajaa masih aja gak kebuka gambarnya tolong di perbaiki yaa."
795,kok makin gak karuan aplikasi nya.beberapa hari tidak bisa lihat notifikasi.pesan juga tidak bisa masuk.chat dengan tim shopee di suruh update clear cache log out.sudah update sudah clear cache giliran mau log in malah tidak bisa.parah parah parah.padalah masih ada barang yang belum terkirim.gimana nasib barang itu sekarang.jika sampai tanggal 15 masih tidak bisa login shopee tak hapus
796,Shopee memang luar biasa
797,shopee memang oke Semua pesanan cepet datang
798,Saya mau masuk ke akun shopee. tapi gk bisa sistem dalam gangguan terus Tolong di perbaiki
799,"Kecewa sama shopee jelas"" punya gratis ongkir tapi ketika dipakai tetap masih ada ongkirnya, jelas"" tertulis diaplikasi untuk pengguna baru bisa klaim hadiah gratis tapi ketika mau klaim gabisa dengan alasan jaringan eror padaha l buat cekout barang lain bisa aja!"
800,Mantap shopee ??
801,"hai Shopee aku suka banget sama kamu,tapi sejak adanya jasa kirim otomatis pembeli saya jadi nggak bisa bikin pesanan dengan akhirnya nggak bisa check out deh..gimana coba?"
802,Shopee the best?
803,Kalau bisa shope adakan tabung emas ataw tabung saldo ( khusu penjual ) Yang mana dana di potong untuk ditabung dalam bentuk emas ataw nominal dari setiap hasil penjualan yang sudah selesai. ..jadi kita para penjual bisa menabung...
804,Shopeee oke banget
805,"Aplikasi bagus untuk berbelanja online, selama pakai Shopee lancar lancar saja tidak ada kendala, selama barang yang saya beli sesuai dengan keinginan dan tidak ada komplai komplain,seller di shopee fast respon jg dengan kurir kurir nya ramah dan cepat ngirim pakait, good luck buat shopee dan semua nya yang terlibat"
